epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,218.64,0.46049,0.36222,0.87912,0.83502,0.87078,0.91508,0.73994,0.73912,0.64111,0.99626,0.000210437,0.000210437,0.000210437
69,221.466,0.49777,0.39531,0.88147,0.81734,0.87898,0.9122,0.74525,0.69957,0.63921,0.98416,0.00020425,0.00020425,0.00020425
70,224.258,0.48744,0.38101,0.90397,0.80948,0.86277,0.90721,0.73628,0.69728,0.65686,0.98154,0.000198063,0.000198063,0.000198063
71,227.107,0.45046,0.38894,0.89024,0.77852,0.89492,0.91388,0.74984,0.70126,0.65424,0.98283,0.000191875,0.000191875,0.000191875
72,229.984,0.43579,0.37834,0.87186,0.84209,0.8707,0.92182,0.74767,0.71135,0.61832,0.99043,0.000185688,0.000185688,0.000185688
73,232.905,0.43853,0.35085,0.88063,0.92329,0.81788,0.92957,0.75647,0.70807,0.58626,0.98931,0.0001795,0.0001795,0.0001795
74,235.687,0.4221,0.35582,0.86451,0.89605,0.90609,0.95661,0.77565,0.70969,0.53807,0.99128,0.000173313,0.000173313,0.000173313
75,238.513,0.42903,0.33174,0.87893,0.92552,0.90039,0.96018,0.77715,0.70008,0.50961,0.98671,0.000167125,0.000167125,0.000167125
76,241.337,0.44332,0.36107,0.87717,0.93512,0.88359,0.96166,0.7823,0.68229,0.49678,0.97886,0.000160938,0.000160938,0.000160938
77,244.178,0.41127,0.34905,0.86945,0.88092,0.93103,0.94543,0.77424,0.70756,0.50183,0.98242,0.00015475,0.00015475,0.00015475
78,246.959,0.43219,0.34001,0.86358,0.92211,0.91242,0.95737,0.79041,0.70525,0.50597,0.98337,0.000148563,0.000148563,0.000148563
79,249.734,0.40238,0.33359,0.86071,0.89556,0.9382,0.95444,0.77299,0.71213,0.50381,0.98754,0.000142375,0.000142375,0.000142375
80,252.515,0.42738,0.3394,0.87663,0.89998,0.91375,0.95651,0.78373,0.71402,0.50426,0.98746,0.000136187,0.000136187,0.000136187
81,255.808,0.42097,0.33279,0.87909,0.88944,0.91613,0.95768,0.79412,0.68303,0.50252,0.97765,0.00013,0.00013,0.00013
82,259.379,0.39457,0.32394,0.854,0.8811,0.91006,0.95577,0.78686,0.66431,0.5121,0.9737,0.000123812,0.000123812,0.000123812
83,262.769,0.41966,0.34847,0.88346,0.88332,0.91347,0.95561,0.78529,0.68598,0.51736,0.9786,0.000117625,0.000117625,0.000117625
84,266.521,0.38565,0.32436,0.85742,0.88833,0.89528,0.95872,0.79013,0.69442,0.51068,0.98102,0.000111438,0.000111438,0.000111438
85,270.2,0.38695,0.32922,0.85773,0.84698,0.94276,0.95906,0.79323,0.67431,0.50451,0.98089,0.00010525,0.00010525,0.00010525
86,273.735,0.41022,0.33976,0.87645,0.90271,0.89689,0.95885,0.79307,0.68423,0.50516,0.98475,9.90625e-05,9.90625e-05,9.90625e-05
87,277.343,0.40648,0.34142,0.87741,0.89671,0.91219,0.95698,0.77917,0.72249,0.51248,0.99689,9.2875e-05,9.2875e-05,9.2875e-05
88,281.02,0.38785,0.32034,0.85633,0.89452,0.915,0.95685,0.77445,0.73401,0.52118,1.00066,8.66875e-05,8.66875e-05,8.66875e-05
89,284.687,0.37098,0.31268,0.85453,0.922,0.88049,0.95403,0.78131,0.71381,0.52279,0.99262,8.05e-05,8.05e-05,8.05e-05
90,287.781,0.37278,0.32069,0.86378,0.91772,0.88918,0.95582,0.79184,0.68526,0.51169,0.98272,7.43125e-05,7.43125e-05,7.43125e-05
91,290.586,0.305,0.27711,0.81904,0.92027,0.89169,0.95632,0.79216,0.68164,0.50426,0.97946,6.8125e-05,6.8125e-05,6.8125e-05
92,293.33,0.31062,0.27477,0.81732,0.91539,0.90048,0.95777,0.79402,0.68184,0.49602,0.97892,6.19375e-05,6.19375e-05,6.19375e-05
93,296.046,0.28346,0.27008,0.80749,0.9125,0.90379,0.95469,0.7908,0.6901,0.49218,0.98203,5.575e-05,5.575e-05,5.575e-05
94,298.807,0.28354,0.26666,0.80432,0.90865,0.9102,0.95584,0.78894,0.6932,0.49061,0.98362,4.95625e-05,4.95625e-05,4.95625e-05
95,301.514,0.29605,0.28869,0.81463,0.90908,0.9075,0.95471,0.78726,0.70513,0.4947,0.98717,4.3375e-05,4.3375e-05,4.3375e-05
96,304.321,0.27658,0.25974,0.79581,0.90839,0.91745,0.95656,0.79156,0.6972,0.49674,0.98499,3.71875e-05,3.71875e-05,3.71875e-05
97,307.1,0.2805,0.26135,0.80365,0.93054,0.89937,0.95653,0.78809,0.68961,0.49533,0.98376,3.1e-05,3.1e-05,3.1e-05
98,309.864,0.28446,0.25456,0.80298,0.92746,0.90465,0.95666,0.79088,0.68756,0.49325,0.98456,2.48125e-05,2.48125e-05,2.48125e-05
99,312.564,0.25935,0.24202,0.79135,0.93288,0.90595,0.95628,0.79099,0.68814,0.49026,0.98676,1.8625e-05,1.8625e-05,1.8625e-05
100,315.299,0.24767,0.23055,0.7942,0.93257,0.9113,0.95713,0.79203,0.69071,0.48981,0.98794,1.24375e-05,1.24375e-05,1.24375e-05
