epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.41069,0.86208,4.03474,1.03324,0.00491,0.3607,0.0219,0.01513,0.61544,3.7933,0.87119,3.125e-05,3.125e-05,3.125e-05
2,8.91706,0.82173,3.85317,1.01613,0.00746,0.47941,0.05185,0.04216,0.59827,3.66955,0.82394,6.73887e-05,6.73887e-05,6.73887e-05
3,10.3614,0.81996,3.72039,0.99095,0.01178,0.66065,0.10519,0.08271,0.6091,3.60443,0.81553,0.000102042,0.000102042,0.000102042
4,11.8232,0.79328,3.60933,0.96244,0.01299,0.76768,0.12631,0.09704,0.62589,3.58063,0.81818,0.000135211,0.000135211,0.000135211
5,13.2861,0.81926,3.49985,0.9669,0.01671,0.84417,0.14614,0.11368,0.62445,3.55228,0.81742,0.000166895,0.000166895,0.000166895
6,14.7893,0.82821,3.38859,0.96958,0.01379,0.88827,0.188,0.14614,0.6501,3.52003,0.81894,0.000197094,0.000197094,0.000197094
7,16.2231,0.80127,3.22677,0.9942,0.0139,0.922,0.2389,0.18242,0.64503,3.45984,0.81578,0.000225807,0.000225807,0.000225807
8,17.7021,0.77836,3.09112,0.94717,0.01447,0.92608,0.25204,0.20661,0.64184,3.38938,0.82091,0.000253036,0.000253036,0.000253036
9,19.1274,0.82273,2.8828,0.98112,0.01376,0.96285,0.29489,0.23823,0.67484,3.28757,0.82991,0.00027878,0.00027878,0.00027878
10,20.5503,0.95737,2.73795,1.06081,0.9473,0.09219,0.32642,0.27056,0.69196,3.19799,0.83953,0.000303039,0.000303039,0.000303039
11,21.9733,0.90006,2.57621,1.04467,0.97395,0.07541,0.36058,0.30272,0.67287,3.07133,0.8428,0.000325813,0.000325813,0.000325813
12,23.3596,0.86716,2.49677,1.03907,0.95838,0.10559,0.40397,0.33969,0.68871,2.95252,0.8516,0.000347101,0.000347101,0.000347101
13,24.8254,0.83514,2.32623,1.0079,0.90588,0.14774,0.41086,0.33986,0.76921,2.8841,0.8736,0.000366905,0.000366905,0.000366905
