epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,26.2224,0.85288,2.14463,1.02259,0.74346,0.2293,0.43511,0.35577,0.72528,2.68089,0.87366,0.000385224,0.000385224,0.000385224
15,27.6705,0.87586,2.02089,1.03919,0.67995,0.26691,0.45631,0.37608,0.72998,2.54291,0.88247,0.000402058,0.000402058,0.000402058
16,29.0698,0.83201,1.92727,1.0529,0.66255,0.38026,0.48936,0.39983,0.81636,2.36695,0.92339,0.000417406,0.000417406,0.000417406
17,30.5018,0.90001,1.86105,1.02947,0.67162,0.41141,0.50978,0.41111,0.80641,2.29504,0.91703,0.000427,0.000427,0.000427
18,31.9149,0.83146,1.75543,1.02741,0.69523,0.4648,0.5507,0.44961,0.7287,2.05067,0.89094,0.000414625,0.000414625,0.000414625
19,33.2807,0.8668,1.69903,1.06437,0.65824,0.48554,0.57412,0.46197,0.76241,1.98544,0.90113,0.00040225,0.00040225,0.00040225
20,34.68,0.85697,1.6683,1.03378,0.72273,0.54017,0.6419,0.50439,0.8383,1.74612,0.93303,0.000389875,0.000389875,0.000389875
21,36.0724,0.82529,1.53521,1.00477,0.68539,0.57548,0.66661,0.54297,0.76728,1.57157,0.91594,0.0003775,0.0003775,0.0003775
22,37.4593,0.83631,1.44625,0.99988,0.71467,0.6231,0.68244,0.55949,0.72558,1.37556,0.91199,0.000365125,0.000365125,0.000365125
23,38.8456,0.79638,1.41854,1.00187,0.72483,0.63162,0.69598,0.57082,0.73842,1.34336,0.91161,0.00035275,0.00035275,0.00035275
24,40.2376,0.79403,1.38591,0.99941,0.73734,0.67139,0.71659,0.5784,0.75474,1.25793,0.91014,0.000340375,0.000340375,0.000340375
25,41.6058,0.79257,1.30836,0.99234,0.70387,0.71837,0.72372,0.58269,0.74141,1.2059,0.91366,0.000328,0.000328,0.000328
26,42.9934,0.71937,1.26949,0.9672,0.76986,0.65323,0.72259,0.57906,0.73742,1.12172,0.92632,0.000315625,0.000315625,0.000315625
27,44.3601,0.71996,1.20958,0.95102,0.78125,0.61439,0.71316,0.56957,0.75094,1.108,0.92796,0.00030325,0.00030325,0.00030325
28,45.7337,0.7432,1.23183,0.98689,0.78441,0.65379,0.73412,0.59182,0.75021,1.05375,0.92003,0.000290875,0.000290875,0.000290875
29,47.1117,0.72319,1.14721,0.94929,0.7502,0.77324,0.75681,0.61751,0.71811,1.00006,0.90502,0.0002785,0.0002785,0.0002785
30,48.5118,0.73887,1.16186,0.96635,0.73673,0.76226,0.76567,0.62109,0.69108,0.99992,0.91268,0.000266125,0.000266125,0.000266125
31,49.8895,0.71682,1.12742,0.95799,0.70184,0.73381,0.75499,0.61282,0.68728,1.02007,0.90856,0.00025375,0.00025375,0.00025375
32,51.2756,0.66969,1.06508,0.94472,0.80174,0.6406,0.74106,0.60139,0.69744,1.05119,0.90783,0.000241375,0.000241375,0.000241375
33,52.6536,0.73976,1.13692,0.96658,0.77856,0.67903,0.75306,0.60702,0.69556,1.02467,0.90266,0.000229,0.000229,0.000229
34,54.0319,0.67639,1.06327,0.95605,0.78471,0.69698,0.78163,0.63226,0.69494,0.93566,0.90595,0.000216625,0.000216625,0.000216625
35,55.3973,0.68437,1.01619,0.954,0.81037,0.71367,0.80535,0.64944,0.69145,0.91652,0.90332,0.00020425,0.00020425,0.00020425
36,56.7943,0.66273,0.9855,0.94272,0.89444,0.70555,0.82332,0.66847,0.70434,0.90279,0.9067,0.000191875,0.000191875,0.000191875
37,58.1625,0.72505,0.99689,0.96077,0.89015,0.69844,0.82685,0.67052,0.69054,0.88358,0.90294,0.0001795,0.0001795,0.0001795
38,59.5824,0.6554,0.94112,0.93709,0.83363,0.73339,0.83561,0.68824,0.66781,0.86907,0.89992,0.000167125,0.000167125,0.000167125
39,60.9591,0.63616,0.93813,0.9259,0.87515,0.70114,0.84538,0.69181,0.66858,0.85451,0.90571,0.00015475,0.00015475,0.00015475
40,62.5056,0.65887,0.91442,0.93758,0.81358,0.75242,0.85909,0.70429,0.66231,0.82167,0.8941,0.000142375,0.000142375,0.000142375
41,64.0384,0.56391,1.00563,0.87586,0.70034,0.87093,0.86171,0.70414,0.67536,0.81556,0.88961,0.00013,0.00013,0.00013
42,65.5005,0.55318,0.96576,0.88861,0.7267,0.86552,0.86443,0.69471,0.74243,0.85142,0.90046,0.000117625,0.000117625,0.000117625
43,66.9304,0.59896,0.98872,0.86974,0.73248,0.85924,0.86539,0.6974,0.74395,0.87469,0.90094,0.00010525,0.00010525,0.00010525
44,68.412,0.57714,0.90637,0.88665,0.72225,0.86971,0.87554,0.70897,0.71717,0.86349,0.89712,9.2875e-05,9.2875e-05,9.2875e-05
45,69.9336,0.5641,0.92853,0.87022,0.74163,0.86199,0.87782,0.72009,0.68848,0.85687,0.89159,8.05e-05,8.05e-05,8.05e-05
46,71.4665,0.54331,0.90916,0.88367,0.76627,0.84263,0.87723,0.72482,0.6614,0.83342,0.88436,6.8125e-05,6.8125e-05,6.8125e-05
47,73.0424,0.5162,0.90661,0.8591,0.78743,0.83443,0.87677,0.72214,0.66323,0.82331,0.88566,5.575e-05,5.575e-05,5.575e-05
48,74.5806,0.52969,0.91964,0.86405,0.79737,0.82326,0.8776,0.72133,0.6628,0.80505,0.88432,4.3375e-05,4.3375e-05,4.3375e-05
49,75.9963,0.53249,0.8942,0.86828,0.78498,0.81299,0.87549,0.71893,0.6643,0.80232,0.88352,3.1e-05,3.1e-05,3.1e-05
50,77.4854,0.51862,0.86466,0.86698,0.78286,0.83383,0.87394,0.7153,0.66774,0.80061,0.88438,1.8625e-05,1.8625e-05,1.8625e-05
